session,hand_id,small_blind,big_blind,num_players,actions_preflop,actions_flop,actions_turn,actions_river,flop,turn,river
30,30_0_0,50,100,6,"P3:fold, P4:fold, P5:raise 225, P6:fold, P1:fold, P2:fold",,,,,,
30,30_1_1,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:raise 300, P2:fold",,,,,,
30,30_2_2,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 200, P1:fold, P2:call","P2:call, P6:call","P2:raise 675, P6:fold",,5c 9s 7c,3h,
30,30_3_3,50,100,6,"P3:fold, P4:fold, P5:raise 200, P6:raise 700, P1:fold, P2:fold, P5:raise 2050, P6:call","P5:call, P6:call","P5:call, P6:raise 2125, P5:fold",,9s Jc 5d,8h,
30,30_4_4,50,100,6,"P3:fold, P4:fold, P5:raise 225, P6:raise 800, P1:fold, P2:fold, P5:fold",,,,,,
30,30_5_5,50,100,6,"P3:fold, P4:fold, P5:raise 200, P6:fold, P1:raise 950, P2:fold, P5:fold",,,,,,
30,30_6_6,50,100,6,"P3:fold, P4:fold, P5:raise 225, P6:fold, P1:fold, P2:fold",,,,,,
30,30_7_7,50,100,6,"P3:fold, P4:raise 225, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P4:raise 250, P2:call","P2:call, P4:raise 750, P2:call","P2:call, P4:call, P2:sm, P4:sm",3s Jh 2h,Tc,Ks
30,30_8_8,50,100,6,"P3:raise 225, P4:fold, P5:fold, P6:raise 700, P1:fold, P2:fold, P3:call","P3:call, P6:raise 500, P3:fold",,,Ks 3h 4s,,
30,30_9_9,50,100,6,"P3:raise 200, P4:fold, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
30,30_10_10,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 222, P1:raise 950, P2:fold, P6:fold",,,,,,
30,30_11_11,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 250, P1:fold, P2:fold",,,,,,
30,30_12_12,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 225, P1:fold, P2:call","P2:call, P6:raise 250, P2:call","P2:call, P6:raise 1000, P2:call","P2:call, P6:call, P2:sm, P6:sm",3d Qc 2c,9s,5s
30,30_13_13,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
30,30_14_14,50,100,6,"P3:fold, P4:fold, P5:raise 225, P6:fold, P1:fold, P2:fold",,,,,,
30,30_15_15,50,100,6,"P3:fold, P4:raise 225, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
30,30_16_16,50,100,6,"P3:fold, P4:raise 200, P5:fold, P6:call, P1:call, P2:call","P1:call, P2:call, P4:call, P6:call","P1:call, P2:call, P4:raise 500, P6:fold, P1:fold, P2:raise 1400, P4:raise 3350, P2:raise 7100, P4:fold",,5h Ts 8h,Tc,
30,30_17_17,50,100,6,"P3:raise 200, P4:fold, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P3:raise 150, P2:call","P2:call, P3:call","P2:raise 750, P3:fold",2d 9c 6h,Qd,5h
30,30_18_18,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
30,30_19_19,50,100,6,"P3:fold, P4:raise 225, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
30,30_20_20,50,100,6,"P3:raise 225, P4:fold, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
30,30_21_21,50,100,6,"P3:raise 250, P4:fold, P5:raise 800, P6:fold, P1:fold, P2:fold, P3:call","P3:call, P5:raise 600, P3:call","P3:call, P5:call","P3:call, P5:call, P3:sm, P5:sm",9h Ts Jh,Kh,Ah
30,30_22_22,50,100,6,"P3:fold, P4:raise 200, P5:fold, P6:fold, P1:raise 850, P2:fold, P4:call","P1:call, P4:call","P1:raise 1350, P4:call","P1:raise 3375, P4:fold",Qs Tc 8d,7h,7s
30,30_23_23,50,100,6,"P3:fold, P4:fold, P5:raise 200, P6:call, P1:call, P2:raise 1150, P5:call, P6:call, P1:fold","P2:call, P5:raise 913, P6:fold, P2:fold",,,7d Td 8c,,
30,30_24_24,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 250, P1:fold, P2:fold",,,,,,
30,30_25_25,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 225, P1:fold, P2:fold",,,,,,
30,30_26_26,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
30,30_27_27,50,100,6,"P3:raise 200, P4:fold, P5:fold, P6:call, P1:fold, P2:call","P2:call, P3:raise 650, P6:call, P2:fold","P3:call, P6:raise 975, P3:raise 2925, P6:call","P3:raise 6225, P6:call, P3:sm, P6:sm",3h 7s 5c,Qs,6c
30,30_28_28,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:raise 300, P2:fold",,,,,,
30,30_29_29,50,100,6,"P3:fold, P4:raise 225, P5:call, P6:fold, P1:fold, P2:fold","P4:call, P5:raise 480, P4:fold",,,Js Kc 2h,,
30,30_30_30,50,100,6,"P3:fold, P4:fold, P5:raise 225, P6:fold, P1:fold, P2:fold",,,,,,
30,30_31_31,50,100,6,"P3:raise 200, P4:fold, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P3:raise 135, P2:raise 525, P3:call","P2:call, P3:call","P2:raise 1500, P3:fold",5s 2s Qh,2d,5c
30,30_32_32,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 200, P1:raise 900, P2:fold, P6:call","P1:raise 700, P6:fold",,,2s 9d 5c,,
30,30_33_33,50,100,6,"P3:fold, P4:raise 225, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P4:raise 375, P2:raise 1125, P4:call","P2:call, P4:raise 999, P2:fold",,Ts Kd 3h,4c,
30,30_34_34,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 222, P1:raise 950, P2:fold, P6:fold",,,,,,
30,30_35_35,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 250, P1:call, P2:fold","P1:call, P6:call","P1:call, P6:call","P1:call, P6:call, P1:sm, P6:sm",3c 9h Jh,5h,Jd
30,30_36_36,50,100,6,"P3:raise 225, P4:fold, P5:raise 700, P6:fold, P1:fold, P2:fold, P3:call","P3:call, P5:raise 525, P3:call","P3:call, P5:raise 1950, P3:fold",,6d 5s Qs,Jd,
30,30_37_37,50,100,6,"P3:raise 200, P4:fold, P5:fold, P6:call, P1:fold, P2:raise 1350, P3:fold, P6:call","P2:call, P6:call","P2:call, P6:call","P2:call, P6:call, P2:sm, P6:sm",Jh 2d 4h,Qd,6c
30,30_38_38,50,100,6,"P3:fold, P4:raise 225, P5:fold, P6:raise 700, P1:fold, P2:fold, P4:call","P4:call, P6:raise 500, P4:fold",,,4h 3d Ac,,
30,30_39_39,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:call, P2:raise 350, P1:call","P1:call, P2:call","P1:call, P2:call","P1:call, P2:call, P1:sm, P2:sm",5c 7d 8s,4h,8d
30,30_40_40,50,100,6,"P3:raise 225, P4:fold, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P3:call","P2:call, P3:call","P2:call, P3:call, P2:sm, P3:sm",7d Ks Qd,8h,As
30,30_41_41,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 250, P1:call, P2:call","P1:raise 750, P2:fold, P6:fold",,,4h 9s 6h,,
30,30_42_42,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
30,30_43_43,50,100,6,"P3:fold, P4:raise 225, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
