session,hand_id,player,position,hole_cards,starting_stack,finishing_stack,profit
30,30_0_0,MrWhite,SB,3c 9s,10000,9950,-50
30,30_0_0,Gogo,BB,6d 5s,10000,9900,-100
30,30_0_0,Budd,UTG,9d Ts,10000,10000,0
30,30_0_0,Eddie,MP,2s Qs,10000,10000,0
30,30_0_0,Bill,CO,Ad Kd,10000,10150,150
30,30_0_0,Pluribus,BTN,7c Tc,10000,10000,0
30,30_1_1,Gogo,SB,8s Qc,10000,10100,100
30,30_1_1,Budd,BB,2s 8d,10000,9900,-100
30,30_1_1,Eddie,UTG,7d Ts,10000,10000,0
30,30_1_1,Bill,MP,5d 8h,10000,10000,0
30,30_1_1,Pluribus,CO,2h 9s,10000,10000,0
30,30_1_1,MrWhite,BTN,6c Qd,10000,10000,0
30,30_2_2,Budd,SB,2h 3c,10000,9950,-50
30,30_2_2,Eddie,BB,Jc 4c,10000,10250,250
30,30_2_2,Bill,UTG,6c 9c,10000,10000,0
30,30_2_2,Pluribus,MP,8c 4s,10000,10000,0
30,30_2_2,MrWhite,CO,Jh 4h,10000,10000,0
30,30_2_2,Gogo,BTN,Ks Ad,10000,9800,-200
30,30_3_3,Eddie,SB,Jh Kh,10000,9950,-50
30,30_3_3,Bill,BB,Jd Ts,10000,9900,-100
30,30_3_3,Pluribus,UTG,3h Ac,10000,10000,0
30,30_3_3,MrWhite,MP,4s Tc,10000,10000,0
30,30_3_3,Gogo,CO,5h Ah,10000,7950,-2050
30,30_3_3,Budd,BTN,9c 9d,10000,12200,2200
30,30_4_4,Bill,SB,Tc 2c,10000,9950,-50
30,30_4_4,Pluribus,BB,3c 6c,10000,9900,-100
30,30_4_4,MrWhite,UTG,5s 8s,10000,10000,0
30,30_4_4,Gogo,MP,Ts 2h,10000,10000,0
30,30_4_4,Budd,CO,Kc Th,10000,9775,-225
30,30_4_4,Eddie,BTN,Td Ah,10000,10375,375
30,30_5_5,Pluribus,SB,Jh Js,10000,10300,300
30,30_5_5,MrWhite,BB,7d 7c,10000,9900,-100
30,30_5_5,Gogo,UTG,7s Kc,10000,10000,0
30,30_5_5,Budd,MP,4d 6s,10000,10000,0
30,30_5_5,Eddie,CO,8h As,10000,9800,-200
30,30_5_5,Bill,BTN,8s 4c,10000,10000,0
30,30_6_6,MrWhite,SB,Qd 4c,10000,9950,-50
30,30_6_6,Gogo,BB,7h 9d,10000,9900,-100
30,30_6_6,Budd,UTG,6s 3h,10000,10000,0
30,30_6_6,Eddie,MP,7s 9c,10000,10000,0
30,30_6_6,Bill,CO,Jc Kc,10000,10150,150
